GPS_TIME (ms),LONG (deg),LAT (deg),ELEV (m),SPEED (m/s),SYSTEM_TIME (ms),ACCEL_Y (m/s^2),ACCEL_X (m/s^2),ACCEL_Z (m/s^2),PITCH_RATE (rad/s),ROLL_RATE (rad/s),YAW_RATE (rad/s),PITCH (rad),ROLL (rad),MATH_GRID_X,MATH_GRID_Y,MATH_GRID_Z,MATH_GRID_X_DELTA,MATH_GRID_Y_DELTA,MATH_GRID_X_SPEED,MATH_GRID_Y_SPEED,MATH_GRID_X_ACCEL,MATH_GRID_Y_ACCEL,MATH_DISTANCE_FROM_PREV,MATH_ELAPSED_DISTANCE,MATH_CALC_SPEED,MATH_GNSS_SPEED_LAG,MATH_RADIUS,MATH_RADIUS_DIFFERENTIAL
68966900,-81.85770612,41.39965542,236.4,6.620899994,1747595366882,-2.783011913,2.877054453,10.12626934,0.04718422517,0.07181239128,0.11237064,0.1480733421,-0.1851320958,677850.7065,-4737756.803,235.6,-2.534662246,-4.183344374,-3.923006012,-5.341070518,-3.929546398,-3.293843872,0.6626991056,4.8962366,6.626991056,0.006091061244,41.97441623,0.04419068315
68967000,-81.85771163,41.39965018,236.4,7.145633327,1747595366986,-3.680757761,3.151418447,9.981340885,0.1035280507,-0.07725404948,-0.4439703077,0.164430545,-0.1918180097,677850.2748,-4737757.363,235.6,-2.966443134,-4.742840972,-4.317808885,-5.594965974,-3.991246561,-3.026276535,0.7067327487,5.602969349,7.067327487,-0.07830583983,44.55611186,0.0258169563
68967100,-81.85771713,41.39964495,236.4,7.67036666,1747595367089,-4.578503609,3.425782442,9.83641243,0.1598718762,-0.2263204902,-1.000311255,0.1807877478,-0.1985039236,677849.7904,-4737757.952,235.6,-3.450771729,-5.332545565,-4.843285946,-5.897045936,-4.223564011,-2.605541814,0.7631026768,6.366072026,7.631026768,-0.03933989196,42.55041598,-0.02005695878
68967200,-81.85772342,41.39963942,236.4,8.53977777,1747595367196,-2.490394354,5.065569878,10.08965778,0.01333410945,0.06350816041,0.0554080531,0.1910514934,-0.2014844514,677849.2661,-4737758.564,235.6,-3.975136671,-5.944118526,-5.243649422,-6.115729604,-4.327309535,-2.158465365,0.8055929981,7.171665024,8.055929981,-0.4838477899,40.78742854,-0.01762987439
68967300,-81.85773048,41.39963367,236.45,8.966766659,1747595367294,-1.25836277,4.500503659,10.22791719,0.04480465082,0.01931275427,-0.2498569824,0.1992951135,-0.2004429589,677848.7018,-4737759.191,235.65,-4.539398946,-6.571629448,-5.642622747,-6.27510922,-4.450078181,-1.579007749,0.8438968372,8.015561861,8.438968372,-0.5277982868,37.48653658,-0.03300891962
68967400,-81.85773755,41.39962792,236.5,9.393755547,1747595367392,-0.02633118629,3.935437441,10.36617661,0.0762751922,-0.02488265187,-0.5551220179,0.2075387336,-0.1994014664,677848.0911,-4737759.85,235.7,-5.150092262,-7.230645644,-6.106933166,-6.590161966,-4.506429509,-1.078345117,0.8984701855,8.914032046,8.984701855,-0.4090536921,37.40591382,-0.0008062276581
68967500,-81.85774545,41.39962197,236.5,9.321733325,1747595367503,0.2617806196,4.594774723,9.696902275,-0.04549214616,0.07808747888,-0.4559241831,0.2146784077,-0.1857181383,677847.4469,-4737760.534,235.7,-5.794288217,-7.91449541,-6.441959549,-6.838497659,-4.499726429,-0.6093071317,0.9394886538,9.8535207,9.394886538,0.07315321291,36.95068772,-0.004552260997
68967600,-81.85775374,41.39961532,236.5,9.591816658,1747595367600,0.18515715,4.635048389,9.930987835,-0.02893909533,0.03077674285,-0.2525808793,0.2260440883,-0.1769274944,677846.7624,-4737761.218,235.7,-6.47879855,-8.598530499,-6.845103329,-6.840350889,-4.462461834,-0.2795628834,0.9677078064,10.82122851,9.677078064,0.08526140591,37.98015093,0.01029463218
68967700,-81.85776203,41.39960867,236.5,9.861899991,1747595367697,0.1085336804,4.675322056,10.16507339,-0.01238604449,-0.01653399318,-0.04923757538,0.237409769,-0.1681368506,677846.0376,-4737761.903,235.7,-7.203623261,-9.282750915,-7.248247107,-6.842204155,-4.343037916,0.0345144528,0.996758967,11.81798747,9.96758967,0.1056896788,39.72163644,0.0174148551
68967800,-81.85777152,41.39960291,236.5,10.03938332,1747595367795,-1.155443043,4.553180933,9.934584618,-0.01712071337,-0.003498475999,0.01670558192,0.2471661975,-0.1647759454,677845.2701,-4737762.578,235.7,-7.971125606,-9.958631699,-7.67502345,-6.758807842,-4.220864597,0.2816893785,1.022680147,12.84066762,10.22680147,0.1874181501,41.97608991,0.02254453471
